"ColferEoin", Top,Arts,Literature,Authors,C,,,,,,
"HiaasenCarl", Top,Arts,Literature,Authors,H,,,,,,
Awards_and_Bestsellers, Top,Arts,Literature,,,,,,,,
Harry_Potter_Series, Top,Arts,Literature,Childrens,Authors,R,RowlingJ._K.,,,
"RowlingJ._K.", Top,Arts,Literature,Childrens,Authors,R,,,,,
R, Top,Arts,Literature,Childrens,Authors,,,,,,
Childrens, Top,Arts,Literature,,,,,,,,
"AuelJean", Top,Arts,Literature,Genres,Historical_Fiction,Authors,,,,,
Historical_Fiction, Top,Arts,Literature,Genres,,,,,,,
27_Dresses, Top,Arts,Movies,Titles,2,,,,,,
2, Top,Arts,Movies,Titles,,,,,,,
"4_Months3_Weeks_and_2_Days", Top,Arts,Movies,Titles,4,,,,,,
4, Top,Arts,Movies,Titles,,,,,,,
500_Days_of_Summer, Top,Arts,Movies,Titles,5,,,,,,
5, Top,Arts,Movies,Titles,,,,,,,
Angel-A, Top,Arts,Movies,Titles,A,,,,,,
Appaloosa, Top,Arts,Movies,Titles,A,,,,,,
Baby_Mama, Top,Arts,Movies,Titles,B,,,,,,
Meat_Puppets, Top,Arts,Music,Bands_and_Artists,M,,,,,,
"PeecheesThe", Top,Arts,Music,Bands_and_Artists,P,,,,,,
"WelnickVince", Top,Arts,Music,Bands_and_Artists,W,,,,,,
"DailyE._G.", Top,Arts,People,D,,,,,,,
Arizona, Top,News,Newspapers,Regional,United_States,,,,,,
Phoenix, Top,Regional,North_America,United_States,Arizona,Localities,P,,,,
Fundamentalist_Church_of_Jesus_Christ_of_Latter_Day_Saints, Top,Society,Religion_and_Spirituality,Christianity,Denominations,Latter_Day_Saints,,,,,
Latter_Day_Saints, Top,Society,Religion_and_Spirituality,Christianity,Denominations,,,,,,
Denominations, Top,Society,Religion_and_Spirituality,Christianity,,,,,,,
Scientology, Top,Society,Religion_and_Spirituality,Opposing_Views,,,,,,,
Personal_Pages, Top,Society,Advice,,,,,,,,
"HillGeorge_Roy", Top,Arts,Movies,Filmmaking,Directing,Directors,H,,,,
